INOCTETS,OUTOCTETS,INERRORS
1786624200:,-nan,-nan
1786626000:,-nan,-nan
1786627800:,-nan,-nan
1786629600:,-nan,-nan
1786631400:,-nan,-nan
1786633200:,-nan,-nan
1786635000:,-nan,-nan
1786636800:,-nan,-nan
1786638600:,-nan,-nan
1786640400:,-nan,-nan
1786642200:,-nan,-nan
1786644000:,-nan,-nan
1786645800:,-nan,-nan
1786647600:,-nan,-nan
1786649400:,-nan,-nan
1786651200:,-nan,-nan
1786653000:,-nan,-nan
1786654800:,-nan,-nan
1786656600:,-nan,-nan
1786658400:,-nan,-nan
1786660200:,-nan,-nan
1786662000:,-nan,-nan
1786663800:,-nan,-nan
1786665600:,-nan,-nan
1786667400:,-nan,-nan
1786669200:,-nan,-nan
1786671000:,-nan,-nan
1786672800:,-nan,-nan
1786674600:,-nan,-nan
1786676400:,-nan,-nan
1786678200:,-nan,-nan
1786680000:,-nan,-nan
1786681800:,-nan,-nan
1786683600:,-nan,-nan
1786685400:,-nan,-nan
1786687200:,-nan,-nan
1786689000:,-nan,-nan
1786690800:,-nan,-nan
1786692600:,-nan,-nan
1786694400:,-nan,-nan
1786696200:,-nan,-nan
1786698000:,-nan,-nan
1786699800:,-nan,-nan
1786701600:,-nan,-nan
1786703400:,-nan,-nan
1786705200:,-nan,-nan
1786707000:,-nan,-nan
1786708800:,-nan,-nan
1786710600:,-nan,-nan
1786712400:,-nan,-nan
1786714200:,-nan,-nan
1786716000:,-nan,-nan
1786717800:,-nan,-nan
1786719600:,-nan,-nan
1786721400:,-nan,-nan
1786723200:,-nan,-nan
1786725000:,-nan,-nan
1786726800:,-nan,-nan
1786728600:,-nan,-nan
1786730400:,-nan,-nan
1786732200:,-nan,-nan
1786734000:,-nan,-nan
1786735800:,-nan,-nan
1786737600:,-nan,-nan
1786739400:,-nan,-nan
1786741200:,-nan,-nan
1786743000:,-nan,-nan
1786744800:,-nan,-nan
1786746600:,-nan,-nan
1786748400:,-nan,-nan
1786750200:,-nan,-nan
1786752000:,-nan,-nan
1786753800:,-nan,-nan
1786755600:,-nan,-nan
1786757400:,-nan,-nan
1786759200:,-nan,-nan
1786761000:,-nan,-nan
1786762800:,-nan,-nan
1786764600:,-nan,-nan
1786766400:,-nan,-nan
1786768200:,-nan,-nan
1786770000:,-nan,-nan
1786771800:,-nan,-nan
1786773600:,-nan,-nan
1786775400:,-nan,-nan
1786777200:,-nan,-nan
1786779000:,-nan,-nan
1786780800:,-nan,-nan
1786782600:,-nan,-nan
1786784400:,-nan,-nan
1786786200:,-nan,-nan
1786788000:,-nan,-nan
1786789800:,-nan,-nan
1786791600:,-nan,-nan
1786793400:,-nan,-nan
1786795200:,-nan,-nan
1786797000:,-nan,-nan
1786798800:,-nan,-nan
1786800600:,-nan,-nan
1786802400:,-nan,-nan
1786804200:,-nan,-nan
1786806000:,-nan,-nan
1786807800:,-nan,-nan
1786809600:,-nan,-nan
1786811400:,-nan,-nan
1786813200:,-nan,-nan
1786815000:,-nan,-nan
1786816800:,-nan,-nan
1786818600:,-nan,-nan
1786820400:,-nan,-nan
1786822200:,-nan,-nan
1786824000:,-nan,-nan
1786825800:,-nan,-nan
1786827600:,-nan,-nan
1786829400:,-nan,-nan
1786831200:,-nan,-nan
1786833000:,-nan,-nan
1786834800:,-nan,-nan
1786836600:,-nan,-nan
1786838400:,-nan,-nan
1786840200:,-nan,-nan
1786842000:,-nan,-nan
1786843800:,-nan,-nan
1786845600:,-nan,-nan
1786847400:,-nan,-nan
1786849200:,-nan,-nan
1786851000:,-nan,-nan
1786852800:,-nan,-nan
1786854600:,-nan,-nan
1786856400:,-nan,-nan
1786858200:,-nan,-nan
1786860000:,-nan,-nan
1786861800:,-nan,-nan
1786863600:,-nan,-nan
1786865400:,-nan,-nan
1786867200:,-nan,-nan
1786869000:,-nan,-nan
1786870800:,-nan,-nan
1786872600:,-nan,-nan
1786874400:,-nan,-nan
1786876200:,-nan,-nan
1786878000:,-nan,-nan
1786879800:,-nan,-nan
1786881600:,-nan,-nan
1786883400:,-nan,-nan
1786885200:,-nan,-nan
1786887000:,-nan,-nan
1786888800:,-nan,-nan
1786890600:,-nan,-nan
1786892400:,-nan,-nan
1786894200:,-nan,-nan
1786896000:,-nan,-nan
1786897800:,-nan,-nan
